anime_id,name,score,genres,type,episodes,aired_start,premiered,status,studios,source,rating,rank,popularity,favorites,scored_by
1,Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,26,1998,spring 1998,Finished,Sunrise,Original,R,41,43,78525,914193
3420,Shigofumi,7.46,"Drama, Fantasy, Suspense",TV,12,2008,winter 2008,Finished,J.C.Staff,Original,R,1861,2083,354,31265
38254,Hashiri Tsuzukete Yokatta tte.,6.38,"Drama, Slice of Life",TV,4,2018,fall 2018,Finished,Signal.MD,Original,PG-13,6983,5585,12,4420
38251,"Sono Toki, Kanojo wa.",5.65,"Drama, Romance",TV,12,2018,fall 2018,Finished,MASTER LIGHTS,Original,PG-13,10267,5085,11,3961
3424,Porphy no Nagai Tabi,6.89,Drama,TV,52,2008,winter 2008,Finished,Nippon Animation,Novel,G,4451,9432,5,538
3425,Meiken Lassie,6.7,"Adventure, Slice of Life",TV,25,1996,winter 1996,Finished,Nippon Animation,Novel,G,5314,11153,1,401
38235,Inazuma Eleven: Orion no Kokuin,6.87,Sports,TV,49,2018,fall 2018,Finished,OLM,Game,G,4521,4053,104,13246
38226,Choukadou Girl ⅙,5.97,"Comedy, Romance, Sci-Fi",TV,12,2019,spring 2019,Finished,Studio A-CAT,Manga,PG-13,8955,4881,27,7489
3433,Go-Q-Choji Ikkiman,6.57,"Sci-Fi, Sports",TV,32,1986,spring 1986,Finished,Toei Animation,Manga,G,5972,12606,0,305
9561,Shokupan Mimi,5.56,"Comedy, Gourmet",TV,12,2010,fall 2010,Finished,Kachidoki Studio,4-koma manga,PG,10579,10971,3,829
3435,Joou Heika no Petite Angie,6.4,Mystery,TV,26,1977,winter 1978,Finished,"Nippon Animation, Production Reed",Original,PG-13,6904,11457,6,356
3437,Mister Ajikko,7.17,"Comedy, Gourmet",TV,99,1987,fall 1987,Finished,Sunrise,Manga,G,3198,8180,14,1114
3438,Moero! Top Striker,6.69,Sports,TV,49,1991,fall 1991,Finished,Nippon Animation,Original,G,5388,8457,15,2214
24625,Gundam Build Fighters Try,7.2,"Action, Sci-Fi",TV,25,2014,fall 2014,Finished,Sunrise,Original,G,3020,3159,114,24171
38203,The iDOLM@STER SideM: Wake Atte Mini!,6.24,"Comedy, Slice of Life",TV,12,2018,fall 2018,Finished,Zero-G,Manga,PG-13,7701,8898,7,1141
3444,The☆Ultraman,6.38,"Action, Sci-Fi",TV,50,1979,spring 1979,Finished,Sunrise,Other,PG-13,6956,9214,9,858
38199,Bermuda Triangle: Colorful Pastrale,5.5,Fantasy,TV,12,2019,winter 2019,Finished,Seven Arcs Pictures,Original,PG-13,10788,6548,17,2509
24629,Koufuku Graffiti,6.79,"Comedy, Gourmet, Slice of Life",TV,12,2015,winter 2015,Finished,Shaft,4-koma manga,PG-13,4865,2254,150,28394
38192,Sakugan,6.51,"Adventure, Comedy, Sci-Fi",TV,12,2021,fall 2021,Finished,Satelight,Novel,PG-13,6344,1972,273,30030
38186,Bokutachi wa Benkyou ga Dekinai,7.28,"Comedy, Romance",TV,13,2019,spring 2019,Finished,"Silver, Arvo Animation",Manga,PG-13,2608,509,1613,218811
3455,To LOVE-Ru,6.99,"Comedy, Romance, Sci-Fi, Ecchi",TV,26,2008,spring 2008,Finished,Xebec,Manga,R+,4050,316,4062,314705
3457,Vampire Knight,6.88,"Drama, Mystery, Romance, Supernatural",TV,13,2008,spring 2008,Finished,Studio Deen,Manga,PG-13,4482,338,7279,345342
3460,Bosco Daibouken,7.24,"Adventure, Fantasy",TV,26,1986,fall 1986,Finished,Nippon Animation,Book,PG,2840,10787,13,759
38162,Rinshi!! Ekoda-chan,5.53,"Comedy, Slice of Life",TV,11,2019,winter 2019,Finished,"Kinema Citrus, Ascension, Creators in Pack, Zero-G",4-koma manga,PG-13,10678,5853,18,3609
38161,Kabukichou Sherlock,6.89,"Comedy, Drama, Mystery",TV,24,2019,fall 2019,Finished,Production I.G,Original,R,4433,2200,190,24391
3464,Kemeko Deluxe!,6.55,"Action, Comedy, Romance, Sci-Fi, Ecchi",TV,12,2008,fall 2008,Finished,Hal Film Maker,Manga,PG-13,6054,3232,55,16947
38157,Circlet Princess,5.96,"Sci-Fi, Sports",TV,12,2019,winter 2019,Finished,SILVER LINK.,Game,PG-13,9010,4886,26,4641
38150,Namu Amida Butsu! Rendai Utena,6.06,Fantasy,TV,12,2019,spring 2019,Finished,Asahi Production,Game,PG-13,8566,5196,28,3446
3467,Nogizaka Haruka no Himitsu,7.2,"Comedy, Romance",TV,12,2008,summer 2008,Finished,Diomedéa,Light novel,PG-13,3037,1576,441,66950
9539,Cardfight!! Vanguard,7.02,Action,TV,65,2011,winter 2011,Finished,TMS Entertainment,Original,PG-13,3893,2840,317,25984
38256,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,6.8,"Drama, Suspense",TV,13,2020,winter 2020,Finished,Shaft,Game,PG-13,4853,1410,799,53185
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",7.73,Slice of Life,TV,12,2019,winter 2019,Finished,Zero-G,Web manga,PG-13,1066,1179,1204,86678
3418,Jungle no Ouja Tar-chan,6.99,"Action, Comedy",TV,50,1993,fall 1993,Finished,Group TAC,Manga,R+,4038,9748,12,599
38268,Hangyakusei Million Arthur 2nd Season,6.3,"Action, Adventure, Fantasy",TV,13,2019,spring 2019,Finished,J.C.Staff,Game,PG-13,7387,4730,19,4190
3358,Kure-nai,7.33,"Comedy, Drama",TV,12,2008,spring 2008,Finished,Brain's Base,Light novel,PG-13,2356,2098,223,36861
3359,Amatsuki,6.88,"Action, Fantasy, Mystery",TV,13,2008,spring 2008,Finished,Studio Deen,Manga,PG-13,4486,2714,124,25915
3361,UFO Senshi Dai Apolon,6.08,"Action, Sci-Fi",TV,26,1976,spring 1976,Finished,"Eiken, Studio Live",Original,PG-13,8448,12222,3,337
3363,RD Sennou Chousashitsu,7.09,"Action, Sci-Fi",TV,26,2008,spring 2008,Finished,Production I.G,Original,R,3582,4042,52,6064
3366,Persona: Trinity Soul,6.52,"Action, Sci-Fi",TV,26,2008,winter 2008,Finished,A-1 Pictures,Original,PG-13,6241,2209,162,25491
9627,Kakko Kawaii Sengen!,5.45,Comedy,TV,5,2010,fall 2010,Finished,Gathering,Original,PG-13,10933,11441,1,416
38390,Chuubyou Gekihatsu Boy,6.76,Comedy,TV,11,2019,fall 2019,Finished,Studio Deen,Novel,PG-13,5048,3043,163,16317
9624,30-sai no Hoken Taiiku,6.63,"Romance, Ecchi",TV,12,2011,spring 2011,Finished,Gathering,Book,R,5659,2576,76,26174
